account,date,classification,daily_pnl,win_rate,avg_trade_size_usd,trades_per_day,long_ratio,frequency_segment,strategy_signal,pnl_bucket,sentiment_flag,behavior_cluster
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,Fear,6979.340871,0.2692307692307692,891.0710664335664,572,0.6048951048951049,Infrequent,No action,Loss,0,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2024-10-27,Greed,327545.999992,0.5148514851485149,16311.138465346536,202,0.5148514851485149,Infrequent,Reduce position size,Profit,1,2
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-02-19,Fear,98269.195073,0.43991416309012876,8098.078723175966,932,0.3208154506437768,Infrequent,No action,Neutral,0,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,Greed,51737.579418,0.028639618138424822,2305.200429594272,419,0.026252983293556086,Infrequent,No action,Neutral,1,0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,Fear,341945.434741,0.3961661341853035,2123.4002662406815,939,0.6112886048988285,Frequent,Reduce trade frequency,Profit,0,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,Greed,37526.331877,0.8208661417322834,2056.391348425197,1016,0.5364173228346457,Frequent,No action,Neutral,1,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,Fear,136208.043913,0.7985670419651996,2330.3033080859777,4885,0.47512794268167863,Frequent,Reduce trade frequency,Profit,0,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,2025-02-19,Fear,14781.443047,0.4510939510939511,3643.361287001287,1554,0.4420849420849421,Frequent,Reduce trade frequency,Loss,0,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,Greed,0.0,0.0,2333.2533333333336,15,1.0,Infrequent,No action,Loss,1,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,Fear,196303.792847,0.28763089005235604,2249.731112565445,3056,0.32035340314136124,Frequent,Reduce trade frequency,Profit,0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,Greed,11.717676000000012,0.037037037037037035,933.2848148148149,54,0.8703703703703703,Infrequent,No action,Loss,1,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,Fear,64510.169958,0.3401775804661487,6453.556398446171,1802,0.5943396226415094,Frequent,Reduce trade frequency,Neutral,0,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,Greed,39978.37791,0.32427937915742794,1376.8141407982262,1804,0.3464523281596452,Frequent,No action,Neutral,1,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,Fear,46257.358187,0.30739021777936454,658.3625776508391,5602,0.4378793288111389,Frequent,Reduce trade frequency,Neutral,0,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2024-10-27,Greed,8695.357326,0.07596685082872928,2936.1985911602205,724,0.8867403314917127,Infrequent,Reduce position size,Loss,1,1
